topic;media;id_session;DOCID;Order;ABSTRACT;TITLE;AUTHORS;LABOS;FILE
Composants semi-conducteurs;oral;SO-J3-A;28822;1;Ce papier présente les performances des MOSFETs en carbure de silicium pour des applications haute température. Les caractérisations statiques et dynamiques ont été réalisées avec un packaging adéquat pour des températures variant de 25°C à 250°C. Un banc de test de vieillissement a été conçu pour évaluer la durée de vie des composants en commutation sur une charge résistive avec T>250°C.;Etude sur les transistors MOSFETs en Carbure de Silicium. Potentiel d'utilisation dans les Applications Hautes Températures;Ouaida Remy (1) (2), Berthou Maxime (2), Brosselard Pierre (2), Oge Sebastien (1), Bevilacqua Pascal (2), Joubert Charles (2);1 - THALES Microelectronics (France), 2 - Laboratoire AMPERE (France);http://sge2014.sciencesconf.org/28822/document
Composants semi-conducteurs;oral;SO-J3-A;28996;2;AlGaN/GaN HEMTs are very promising candidates for high frequency applications with high power and low noise. Unfortunately, while switching applications strongly demand normally-off operation, conventional HEMTs are normally-on. For the sake of achieving normally-off HEMTs, several structures have been proposed. One of the major normally-off HEMTs uses fluorine implantation in the AlGaN layer. We suggest in this work the implantation of fluorine ions under the AlGaN/GaN interface only below the gate electrode rather than implanting in the AlGaN layer. Simulation results show that the proposed method is capable of achieving normallyoff operation and more effective when it comes to the fluorine concentration required to obtain the desired threshold voltage. Neither the vertical breakdown voltage, nor the off-state current are affectedby this approach.;Un interrupteur GaN HEMT normally-off grâce à des ions fluor implantés sous l'interface AlGaN/GaN;Hamady Saleem  (1) (2), Morancho Frederic  (2), Beydoun Bilal  (1), Austin Patrick  (2), Gavelle Mathieu  (3);1 - Université Libanaise  (UL-GET/LPE) (Liban), 2 - Laboratoire LAAS (France), 3 - CEA Tech Midi-Pyrénées (France);http://sge2014.sciencesconf.org/28996/document
Composants semi-conducteurs;oral;SO-J3-A;29992;3;"L'usage des semi-conducteurs à large bande interdite est en train de se répandre, notamment pour la réalisation de composants à haute tension. Cependant, certains composants montrent des claquages pour des tensions inférieures aux tensions théoriques prévues. Ces claquages prématurés sont en général liés à l'imperfection des protections périphériques des jonctions, dont le rôle est de réduire les pics de champ en bordure du composant. Il est donc important ""d'observer"" le champ électrique en périphérie du composant afin de détecter les faiblesses de protection. Ce papier présente une imagerie 2D du champ électrique par la technique OBIC (Optical Beam Induced Current). Des cartographies 2D ont été réalisées sur des diodes protégées par une JTE (Junction Termination Extension) montrant une image du champ électrique aux périphéries et aux courbures des diodes. D'autres mesures ont été faites sur des diodes ZENER avec protection MESA munies d'une fenêtre optique.";Imagerie 2D du champ électrique dans les diodes SiC-4H haute tension par la technique OBIC;Hamad Hassan  (1), Bevilacqua Pascal  (1), Planson Dominique  (1), Raynaud Christophe  (1), Tournier Dominique  (1), Vergne Bertrand  (2), Lazar Mihai  (1), Brosselard Pierre  (1);1 - Laboratoire AMPERE (France), 2 - Institut Franco-Allemand de recherches de Saint-Louis (France);http://sge2014.sciencesconf.org/29992/document
Composants semi-conducteurs;oral;SO-J3-A;30026;4;L'objectif de ce papier est de présenter l'optimisation et la réalisation d'une diode à Superjonction et à tranchées profondes et de sa terminaison (DT-SJDiode) pouvant tenir des tensions de 600 V à l'état bloqué. Nous étudierons l'influence des paramètres technologiques et géométriques sur la tenue en tension à partir de simulations effectuées sous Sentaurus TCAD. Des travaux précédents ont permis de valider certaines étapes technologiques et de dégager un procédé de fabrication pour des applications à 1200V. Il s'agit ici d'optimiser ces différentes étapes qui influent sur les paramètres électriques (verticalité des tranchées, remplissage des tranchées de terminaison de jonction, ...) pour des applications à 600V.;Optimisation de la diode à Superjonction et à tranchées profondes pour des applications à 600V;Noblecourt Sylvain  (1), Tasselli Josiane  (1), Morancho Frederic  (1);1 - Laboratoire LAAS (France);http://sge2014.sciencesconf.org/30026/document
Composants semi-conducteurs;oral;SO-J3-A;30108;5;Une structure IGBT à conduction inverse (RC- IGBT) qui intègre de manière monolithique un IGBT pour la conduction directe et un thyristor auto-amorçable pour la conduction inverse est proposée. Contrairement au RC-IGBT classique, cette nouvelle structure ne présente pas de snapback [1-2] en mode de conduction direct. Le fonctionnement du RC- IGBT que nous proposons a été étudié par des simulations physiques 2D en statique et en dynamique. La structure proposée est ensuite utilisée pour créer deux puces complémentaires « tri-pôle à Anode Commune » et « tri-pôle à Cathode Commune » dans le cadre d'une approche d'intégration monolithique bi-puce de convertisseur statique [4]. Ces deux puces ont été associées pour réaliser un onduleur complet monophasé. Dans ce contexte d'intégration bi-puce, la réalisation d'un mur P+ traversant tout le substrat est nécessaire pour l'isolation des interrupteurs dans le cas du tri-pôle à cathode commune. Le RC-IGBT proposé exploite également ce type de mur P+ pour l'enclenchement du thyristor en mode de conduction inverse. L'objectif de l'approche d'intégration est d'améliorer les performances et l'intégrabilité monolithique des convertisseurs de puissance.    ;"Simulation d'une structure générique RC-IGBT sans ""tension de retournement"" adaptée à l'intégration monolithique de cellules de commutation sur puce Si";Lale Adem (1), Bourennane Abdelhakim (1), El Khadiry Abdelilah (1), Richardeau Frédéric (2) ;1 - Laboratoire LAAS (France), 2 - Laboratoire LAPLACE (France);http://sge2014.sciencesconf.org/30108/document
Composants semi-conducteurs;oral;SO-J3-A;30128;6;La diminution des dimensions de gravure, la hausse de la fréquence de fonctionnement ainsi que la baisse des tensions d'alimentation des circuits intégrés en technologies CMOS avancées ont conduit les fabricants majeurs de semi-conducteurs à modifier leurs méthodes d'assemblage boîtier pour minimiser les éléments parasites RLC sur les chemins d'alimentation. Cette amélioration de performances fonctionnelles s'est cependant avérée être une nouvelle source de danger pour la robustesse des circuits intégrés, en créant des points d'injection possibles dans le coeur des circuits intégrés lors d'un événement ESD. La stratégie classique de protection ESD, embarquée directement sur le silicium, a également dû être modifiée en conséquence. Il n'existe toutefois pas d'outils commerciaux d'analyse rapide systématique de ce nouveau type de réseau ESD, disséminé dans le coeur et plus uniquement dans la couronne d'entrées/sorties. Ce document expose les difficultés auxquelles devra faire face l'outil que nous projetons de concevoir : ESD IP Explorer.;Automatisation de la vérification du réseau ESD sur silicium : un enjeu majeur pour les circuits intégrés en technologies CMOS avancées;Viale Benjamin  (1) (2), Allard Bruno  (2), Galy Philippe  (1), Fer Mathieu  (1);1 - STMicroelectronics (France), 2 - Laboratoire AMPERE (France);http://sge2014.sciencesconf.org/30128/document
Contraintes d'usage;oral;SO-J2am-A;28752;1;Cet article présente une nouvelle méthode permettant d'assurer l'échange d'informations entre l'électronique rapprochée d'un pack batterie (BMS) et son système de gestion de l'énergie (EMS). Cette méthode repose sur le principe des Courants Porteurs en Ligne (CPL) en s'appuyant sur la technologie du bus CAN. Le principe du nouveau protocole appelé CAN-CPL est expliqué dans le cadre de la gestion d'un pack constitué de plusieurs batteries connectées en étoile. Les limites liées au compromis entre la fréquence de la porteuse et la longueur des câbles de puissance sont exposées. Une approche par simulation est proposée et permet de montrer la faisabilité théorique du protocole CAN-CPL. Des mesures réalisées sur un banc de test expérimental confirment la validité de ce nouveau support physique.;Gestion de Pack Batterie par communication CAN-CPL;Ginot Nicolas  (1), Batard Christophe  (1), Jousse Jérémie  (2) (1), Lemaire Elisabeth  (2);1 - Institut d'Electronique et de Télécommunications de Rennes (France), 2 - Institut National de l'Energie Solaire (France);http://sge2014.sciencesconf.org/28752/document
Contraintes d'usage;oral;SO-J2am-A;30073;2;Dans le domaine de la variation de vitesse, les perturbations conduites de mode commun sont les plus difficiles à maîtriser du fait des multiples chemins de propagation possibles. Ces perturbations peuvent être réduites à l'aide de filtres passifs qui sont généralement très volumineux. Une solution pour réduire la taille de ces filtres consiste à réduire les perturbations de mode commun à la source, à savoir la tension de mode commun induite par le convertisseur. C'est dans cette optique que s'inscrit cet article qui étudiera une stratégie de modulation permettant la synchronisation de tous les fronts de tension dans une structure onduleur-redresseur entièrement commandé. Avec l'utilisation de cette stratégie de synchronisation que l'on qualifiera de synchronisation totale (ST), il est possible de réduire la tension de mode commun à de simples résidus issus des commutations des différents bras de la structure. Dans cet article seront présentés les développements de la stratégie de synchronisation totale en vue d'une généralisation à tout point de fonctionnement du variateur ainsi qu'une étude de l'impact des résidus liés aux commutations des différents bras de la structure sur le contenu spectral de la tension de mode commun.;Stratégie de modulation pour la réduction de la tension de mode commun générée par un variateur de vitesse à redresseur MLI;Messaoudi Mehdi  (1) (2), Videt Arnaud  (2), Idir Nadir  (2), Vang Heu  (1), Boulharts Hocine  (1);1 - Schneider Electric (France), 2 - Laboratoire L2EP (France);http://sge2014.sciencesconf.org/30073/document
Contraintes d'usage;oral;SO-J2am-A;30150;3;Cet article propose une modélisation analytique du champ rayonné par les composants à noyau ferromagnétique torique. Le modèle se base sur le principe de transformation conforme et permet de calculer le champ rayonné dans l'air par n'importe quelle distribution de courant. Les résultats obtenus permettent d'obtenir la valeur de l'inductance de fuite des composants et d'étudier l'influence de la géométrie du bobinage sur le champ rayonné.;Modélisation analytique du champ rayonné par les composants à noyau torique pour le calcul de l'inductance de fuite;Lévy Pierre-Etienne  (1), Gautier Cyrille  (1), Costa Francois  (1), Revol Bertrand  (1);1 - Laboratoire SATIE (France);http://sge2014.sciencesconf.org/30150/document
Contraintes d'usage;oral;SO-J2am-A;30168;4;Les composants à grand gap sont aujourd'hui présentés comme la nouvelle génération de composants de puissance dont les performances annoncées ou du moins espérées sont plus que prometteuses. Leur vitesse de commutation élevée associée à leur tenue en tension importante et une augmentation possible des fréquences de découpage représentent une combinaison redoutable sur le plan de la compatibilité électromagnétique imposant ainsi une vigilance toute particulière. A l'instar des travaux menés sur l'estimation des émissions conduites des structures utilisant des composants en Silicium, ces technologies (ex : GaN, SiC) demandent un effort supplémentaire quant à la modélisation des sources de perturbation autrement dit des phases de commutation. Cet article présente une plateforme de caractérisation dédiée aux composants en commutation ainsi qu'un modèle haute fréquence permettant au travers des émissions conduites générées la discrimination des effets des différentes technologies de semi-conducteurs.;Plateforme de caractérisation pour composants grand-gap et modèle EBEM-CE associé;Revol Bertrand  (1), Lopez-Bancalari Richard (1), Hrigua Slim (1), Costa Francois  (1);1 - Laboratoire SATIE (France);http://sge2014.sciencesconf.org/30168/document
