id,type,name,nb papiers,location,date,begin,end,chairmen
K1,session plénière,Plénière 1,1,Grand amphi Marie Curie,08/07/2014,11:30,12:15,"Frédéric MAZALEYRAT (SATIE, Cachan)"
K2,session plénière,Plénière 2,1,Grand amphi Marie Curie,08/07/2014,12:15,13:00,"Jean-Paul FERRIEUX (G2ELab, Grenoble)"
K3,session plénière,Plénière 3,1,Grand amphi Marie Curie,09/07/2014,09:15,10:00,"Bernard MULTON (SATIE, Rennes)"
K4,session plénière,Plénière 4,1,Grand amphi Marie Curie,10/07/2014,08:45,09:30,"Jean-Luc THOMAS (CNAM, Paris)"
SO-J1-A,session orale,Thermique des composants et systèmes d'électronique de puissance,6,Grand amphi Marie Curie,08/07/2014,16:00,18:30," Nathalie BATUT (GREMAN, Tours), Thierry MEYNARD (LAPLACE, Toulouse), "
SO-J1-B,session orale,Dispositifs EM et actionneurs spéciaux,6,Amphi Tocqueville,08/07/2014,16:00,18:30,"Rachid IBTIOUEN (LRE-ENP, Alger), Yves PERRIARD (LAI-EPFL, Lausanne)"
SO-J1-C,session orale,Matériaux magnétiques et conducteurs,6,Salle Condorcet,08/07/2014,16:00,18:30,"Afef KEDOUS-LEBOUC (G2ELab, Grenoble), Jean LEVEQUE (GREEN, Nancy)"
SO-J2am-A,session orale,Contraintes d'usage,6,Salle Condorcet,09/07/2014,10:30,13:00,"Cyrille GAUTIER (SATIE, Cachan), Arnaud VIDET (L2EP, Lille)"
SO-J2am-B,session orale,Systèmes d'énergie/Transport,6,Grand amphi Marie Curie,09/07/2014,10:30,13:00,"Guy FRIEDRICH (LEC, Campiègne), Mohamed GABSI (SATIE, Cachan)"
SO-J2am-C,session orale,Matériaux Diélectriques et systèmes d'isolation,6,Amphi Tocqueville,09/07/2014,10:30,13:00,"Petru NOTHINGER (IES, Montpellier), Therry LEBAY (LAPLACE, Toulouse)"
SO-J2pm-A,session orale,Intégration de puissance et architecture,6,Amphi Tocqueville,09/07/2014,16:00,18:30,"François FOREST (IES, Montpellier), Hervé STEPHAN (THALES)"
SO-J2pm-B,session orale,Systèmes Energies Renouvelables/Réseau,6,Salle Condorcet,09/07/2014,16:00,18:30,"Seddik BACHA (G2ELab, Grenoble), Benoit ROBYNS (L2EP, Lille)"
SO-J2pm-C,session orale,Méthodes et méthodologies en GE,6,Grand amphi Marie Curie,09/07/2014,16:00,18:30,"Xavier ROBOAM (LAPLACE, Toulouse), Betty LEMAIRE-SEMAIL (L2EP, Lille)"
SO-J3-A,session orale,Composants semi-conducteurs,6,Grand amphi Marie Curie,10/07/2014,11:00,13:00,"Frédéric MORANCHO (LAAS, Toulouse), Dominique PLANSON (AMPERE, Lyon) "
SO-J3-B,session orale,Contrôle/Diagnostic,6,Amphi Tocqueville,10/07/2014,11:00,13:00,"Alain BOUSCAYROL (L2EP, Lille), Jamel BELHADJ (LSE-ENIT, Tunis)"
SO-J3-C,session orale,Systèmes de stockage/Piles à combustible,6,Salle Condorcet,10/07/2014,11:00,13:00,"Pascal VENET (AMPERE, Lyon), Hamid GUALOUS (LUSAC, Cherbourg)"
SP-J1-A,session poster,Composants et systèmes sous contraintes thermiques,7,Hall Villon,08/07/2014,14:30,15:30,"Mounira BERKANI (SATIE, Cachan), Yvan AVENAS (G2ELab, Grenoble)"
SP-J1-B,session poster,Dispositifs EM et actionneurs spéciaux,13,Hall Villon,08/07/2014,14:30,15:30,"Jean-Claude VANNIER (ESE-SUPELEC, Gif), Bruno DEHEZ (UCL, Louvain),Christophe ESPANET (FEMTO-ST, Belfort)"
SP-J1-C,session poster,Matériaux magnétiques et conducteurs,18,Hall Villon,08/07/2014,14:30,15:30,"Marie-Ange RAULET (LAPLACE, Toulouse), Frédéric BOUILLAULT (LGEP, Gif), Pascal TIXADOR (G2ELab, Grenoble)"
SP-J2-A,session poster,Contraintes d'usage,3,Hall Villon,09/07/2014,14:30,15:30,"Philippe LEMOIGNE (L2EP, Lille), Bertrand REVOL (SATIE, Cachan), Frédéric RICHARDEAU (LAPLACE, Toulouse), "
SP-J2-B,session poster,Intégration de puissance et architecture,6,Hall Villon,09/07/2014,14:30,15:30,"Philippe LEMOIGNE (L2EP, Lille), Bertrand REVOL (SATIE, Cachan), Frédéric RICHARDEAU (LAPLACE, Toulouse), "
SP-J2-C,session poster,Matériaux Diélectriques et systèmes d'isolation,6,Hall Villon,09/07/2014,14:30,15:30,"Marie-Laure LOCATELLI (LAPLACE, Toulouse), Slimane BOUAZABIA (USTHB, Alger)"
SP-J2-D,session poster,Systèmes d'énergie/Transport,5,Hall Villon,09/07/2014,14:30,15:30,"Claude MARCHAND (LGEP, Gif), Michel HECQUET (L2EP, Lille)"
SP-J2-E,session poster,Systèmes Energies Renouvelables/Réseau,13,Hall Villon,09/07/2014,14:30,15:30,"Farid MEYBODY-TABAR (GREEN, Nancy), Georges BARAKAT (GREAH, Le Havre), Judicael AUBRY (ESTACA, Laval)"
SP-J3-A,session poster,Composants semi-conducteurs,11,Hall Villon,10/07/2014,09:30,10:30," Pierre BROSSELARD (AMPERE, Lyon), Zoubir KHATIR (IFSTTAR-LTN, Satory), Nicolas ROUGER (G2ELab, Grenoble)"
SP-J3-B,session poster,Contrôle/Diagnostic,8,Hall Villon,10/07/2014,09:30,10:30,"Michael HILLAIRET (FEMTO-ST, Belfort), Pascal MAUSSION (LAPLACE, Toulouse)"
SP-J3-C,session poster,Méthodes et méthodologies en GE,8,Hall Villon,10/07/2014,09:30,10:30,"xxx, Vincent LANFRANCHI (LEC, Campiègne)"
SP-J3-D,session poster,Systèmes de stockage/Piles à combustible,4,Hall Villon,10/07/2014,09:30,10:30,"Denis CANDUSSO (IFSTTAR-LTN, Belfort), Daniel CHATROUX (CEA, Grenoble)"
SS-J1,session spéciale,Session spéciale GE et Mathématiques appliquées,4,Amphi Fonteneau,08/07/2014,16:00,18:30,"Stéphane CLENET (L2EP, Lille), Frédéric BOUILLAULT (LGEP, Gif)"
SS-J2am,session spéciale,Session spéciale GE et Biologie/santé,6,Amphi Fonteneau,09/07/2014,10:30,13:00,"Emmanuel ODIC (DESE-SUPELEC), François BURET (AMPERE, Lyon)"
SS-J2pm,session spéciale,Session spéciale GE et Mécanique,6,Amphi Fonteneau,09/07/2014,16:00,18:30,"Laurent DANIEL (LGEP, Gif), Olivier HUBERT (LMT, Cachan)"
SS-J3,session spéciale,Session spéciale GE et Physique,5,Amphi Fonteneau,10/07/2014,11:00,13:00,"Eric LABOURE (LGEP, Gif), Bernard MULTON (SATIE, Rennes)"
